%温室传感器数据，每15分钟采样一次
%数据格式说明：
%COL1:日期和时间 yyyyMMddhhmm
%COL2:土壤温度1,CK组(℃)
%COL3:土壤温度2,处理组(℃)
%COL4:土壤水分1,CK组(%)
%COL5:土壤水分2,处理组(%)
%COL6:土壤EC值(mS/cm) (暂缺)
%COL7:空气温度(℃)
%COL8:空气湿度(%RH)
%COL9:露点温度(℃)
%COL10:空气二氧化碳浓度(ppm)
%COL11:光照强度(Lux)

201801162023 ,8.9,8.3,7.6,14.6,6.1,99.3,6.1,514,0
201801162008 ,9.1,8.4,7.5,14.6,6.1,99.3,6.1,526,0
201801161953 ,9.1,8.5,7.6,14.6,6.1,99.3,6.1,514,0
201801161938 ,9.2,8.6,7.6,14.6,6.2,98.6,6.2,513,0
201801161923 ,9.3,8.6,7.6,14.6,6.4,98.6,6.3,520,0
201801161908 ,9.4,8.7,7.6,14.6,6.5,98.6,6.4,513,0
201801161853 ,9.4,8.8,7.6,14.6,6.5,98.6,6.4,499,1
201801161838 ,9.5,8.8,7.6,14.6,6.6,98.6,6.5,511,2
201801161823 ,9.6,8.9,7.6,14.6,6.7,98.6,6.5,504,4
201801161808 ,9.7,8.9,7.7,14.6,6.8,97.8,6.6,507,8
201801161753 ,9.8,9,7.7,14.6,6.9,97.8,6.7,496,34
201801161738 ,9.8,9.1,7.7,14.6,7,97.8,6.8,506,111
201801161723 ,9.9,9.1,7.7,14.6,7.2,97.2,6.9,491,216
201801161708 ,10,9.2,7.7,14.6,7.3,97.2,7,487,337
201801161653 ,10.1,9.3,7.7,14.6,7.5,96.4,7.1,486,455
201801161638 ,10.1,9.3,7.7,14.6,7.7,96.4,7.3,479,696
201801161623 ,10.2,9.3,7.7,14.6,8.6,95.8,7.6,494,691
201801161608 ,10.3,9.3,7.7,14.6,8.1,95.8,7.5,477,887
201801161553 ,10.3,9.4,7.7,14.6,8.3,95.2,7.6,475,1173
201801161538 ,10.3,9.4,7.8,14.6,8.5,93.8,7.7,476,1643
201801161523 ,10.4,9.4,7.8,14.6,8.6,93.8,7.8,482,1646
201801161508 ,10.4,9.4,7.8,14.6,8.7,93.8,7.8,466,1810
201801161453 ,10.4,9.5,7.8,14.6,8.9,93,7.9,471,2055
201801161438 ,10.5,9.5,7.8,14.6,9.2,91.9,8.1,473,2810
201801161423 ,10.4,9.5,7.8,14.6,9.4,91.9,8.2,468,2411
201801161408 ,10.5,9.5,7.8,14.6,9.4,91.9,8.2,478,3150
201801161353 ,10.5,9.5,7.8,14.6,9.6,91.2,8.3,481,3294
201801161338 ,10.5,9.5,7.8,14.6,9.5,91.2,8.2,479,2518
201801161323 ,10.5,9.5,7.8,14.6,9.5,91.2,8.2,479,2990
201801161308 ,10.5,9.5,7.8,14.6,9.8,90.1,8.4,482,3903
201801161253 ,10.5,9.5,7.8,14.6,10,90.1,8.4,471,3563
201801161238 ,10.5,9.5,7.8,14.6,9.8,90.8,8.4,483,2947
201801161223 ,10.5,9.4,7.8,14.6,9.8,90.8,8.4,476,3267
201801161208 ,10.5,9.5,7.8,14.6,10.1,90.8,8.6,472,3074
201801161153 ,10.5,9.5,7.8,14.6,10,90.8,8.6,480,2446
201801161138 ,10.4,9.4,7.9,14.6,10.3,90.1,8.8,468,2600
201801161123 ,10.4,9.4,7.8,14.6,10.5,89.3,8.9,471,3395
201801161108 ,10.4,9.4,7.9,14.6,10.8,88.5,9.1,483,4386
201801161053 ,10.4,9.4,7.9,14.6,11.6,86.9,9.5,498,4727
201801161038 ,10.3,9.4,7.8,14.6,11.5,85.9,9.3,501,6786
201801161023 ,10.3,9.3,7.8,14.6,11.2,85.9,9,498,3526
201801161008 ,10.3,9.3,7.8,14.6,10.1,88.4,8.4,495,3766
201801160953 ,10.3,9.3,7.8,14.6,10.2,88.4,8.3,495,3404
201801160938 ,10.3,9.3,7.8,14.6,9.9,88.4,8.1,509,2527
201801160923 ,10.3,9.3,7.8,14.6,8.9,90.8,7.5,513,1738
201801160908 ,10.3,9.4,7.8,14.6,8.6,91.4,7.3,513,1294
201801160853 ,10.3,9.4,7.8,14.6,8.3,92.2,7.2,529,962
201801160838 ,10.4,9.5,7.8,14.6,8.1,93,7,516,527
201801160823 ,10.4,9.6,7.8,14.6,8,93,7,520,399
201801160808 ,10.5,9.6,7.8,14.6,8,93,7,524,293
201801160753 ,10.6,9.7,7.8,14.6,8,93,7,527,208
201801160738 ,10.6,9.8,7.8,14.6,8,93,7,528,82
201801160723 ,10.7,9.8,7.8,14.6,7.9,93,7,537,19
201801160708 ,10.8,9.9,7.8,14.6,8,93,7.1,527,0
201801160653 ,10.9,9.9,7.8,14.6,8.2,93,7.2,522,0
201801160638 ,10.9,10,7.9,14.6,8.4,93,7.4,535,0
201801160623 ,11,10.1,7.9,14.6,8.5,93,7.5,537,0
201801160608 ,11,10.1,7.9,14.6,8.6,93,7.6,547,0
201801160553 ,11.1,10.2,7.9,14.6,8.7,92.3,7.6,539,0
201801160538 ,11.2,10.3,7.9,14.6,8.8,92.3,7.7,534,0
201801160523 ,11.2,10.3,7.9,14.6,8.9,92.3,7.8,542,0
201801160508 ,11.3,10.4,7.9,14.6,9,92.3,7.9,539,0
